# SIMULATED DATA — generated by swarm-lmd/swarm.py, seed 20260813. Evidence about this model, NOT about the world.
swarm,J,agent,depth,R_from_root,U,d_enc,d_dec,E_UDD,fidelity
1,0.086203,3411,2,4.65616485,0.28589851,0.41203119,0.57890494,0.06819448,0.000206697894
1,0.086203,3394,2,4.65616485,0.8369076,0.80919776,0.36793438,0.2491739,0.000258002402
1,0.086203,608,2,3.8235903,0.6293133,0.90353831,0.78963851,0.44899531,0.000617318849
1,0.086203,606,2,4.273519,0.14312507,0.88408616,0.81159936,0.10269563,0.000620827477
1,0.086203,466,2,4.81675483,0.91519304,0.29992798,0.94806123,0.26023522,0.000211210311
1,0.086203,31,2,3.85203394,1.58145445,0.91642071,0.66817164,0.96836619,0.000529806858
1,0.086203,78,2,3.73097039,3.30056378,0.76266823,0.68640476,1.72784219,0.000452950339
1,0.086203,29,2,4.273519,1.54749868,0.66750369,0.31180656,0.32208404,0.000180083352
1,0.086203,80,2,4.40782823,0.11947284,0.90839449,0.88225789,0.0957501,0.00073847384
1,0.086203,140,2,3.45593132,8.40753422,0.6173762,0.8797746,4.56656814,0.000403872076
1,0.086203,20,2,3.70015198,0.09095299,0.81968745,0.52954604,0.03947926,0.000399960481
1,0.086203,72,2,4.81675483,0.97107475,0.58493519,0.91674407,0.52072511,0.000398306699
1,0.086203,123,2,4.81675483,0.38670653,0.51856436,0.8678216,0.17402619,0.000334268049
1,0.086203,47,2,3.47950558,9.10546025,0.93223033,0.90561622,7.68722021,0.000777915615
1,0.086203,460,2,4.19170667,0.60083567,0.69150145,0.53344129,0.22163351,0.000274285123
1,0.086203,28,2,4.19170667,0.48692237,0.79366985,0.68972823,0.26654933,0.00040704311
1,0.086203,1000,2,4.273519,1.05072489,0.76692989,0.53915614,0.43446944,0.000357770771
1,0.086203,2066,2,4.273519,1.79377028,0.93150629,0.50751356,0.84800863,0.000409042178
1,0.086203,901,2,3.71780851,2.0236911,0.65686946,0.9743625,1.29522092,0.000647950995
1,0.086203,10,2,3.81988427,0.6539729,0.81242291,0.95988789,0.5099909,0.000674741343
1,0.086203,51,2,4.08952564,0.21957837,0.81144065,0.6156496,0.10969325,0.000460315327
1,0.086203,229,2,4.50566157,0.43690325,0.83086876,0.48854357,0.17734584,0.000221694764
1,0.086203,956,2,4.40782823,0.78525604,0.7901422,0.86063193,0.53399107,0.000626596234
1,0.086203,949,2,4.40782823,0.42087175,0.70901263,0.73375898,0.21895616,0.000479371789
1,0.086203,1081,2,4.64752221,0.65168317,0.67342369,0.76868793,0.33734553,0.000368479333
1,0.086203,283,2,3.85173407,2.52130627,0.88881769,0.69381568,1.55482819,0.000533570053
1,0.086203,2106,2,4.65616485,0.96921799,0.79545068,0.67388477,0.51954164,0.000464512706
1,0.086203,183,2,4.44797391,0.91274516,0.59489214,0.81749604,0.44388802,0.000520544894
1,0.086203,12,2,4.273519,0.59862357,0.85561043,0.56491925,0.28934518,0.000418212575
1,0.086203,6,2,4.09810558,0.8345342,0.5360076,0.79056796,0.35363423,0.000301637156
1,0.086203,16,2,2.98096398,2.34630105,0.88947136,0.70086336,1.46267912,0.000463540682
1,0.086203,14,2,3.5568443,5.70005476,0.79276201,0.86036028,3.88778472,0.000730058197
1,0.086203,61,2,4.44797391,0.2583458,0.8160658,0.63912955,0.13474587,0.000558275252
1,0.086203,107,2,3.78556689,1.96460804,0.85563104,0.89637267,1.5067842,0.000570292511
1,0.086203,11,2,4.44797391,0.35278877,0.73507214,0.7823095,0.20287256,0.000615520992
1,0.086203,36,2,4.13716124,1.29792493,0.48428449,0.44065809,0.27698221,0.000184927293
1,0.086203,376,2,4.56687753,0.36282173,0.76818611,0.57534756,0.16035777,0.000447444584
1,0.086203,2523,2,3.98123015,1.24613707,0.90927763,0.895772,1.01498542,0.000871822935
1,0.086203,375,2,4.273519,0.50687824,0.90012961,0.62193652,0.28376234,0.000484379497
1,0.086203,139,3,4.924602,0.80575521,0.66426483,0.842472,0.45092037,3.2423825e-05
1,0.086203,3322,3,4.85221855,0.18263882,0.62754702,0.76198996,0.08733506,1.5326725e-05
1,0.086203,469,3,5.46475326,1.22997642,0.94106767,0.678269,0.78509029,2.4536838e-05
1,0.086203,507,3,4.56151091,0.88815856,0.67706673,0.87218605,0.52448264,3.6457185e-05
1,0.086203,493,3,5.11781979,0.49611887,0.6387304,0.55001196,0.1742912,1.8812091e-05
1,0.086203,450,3,4.85221855,0.61685076,0.91952,0.53582544,0.30392373,1.5792045e-05
1,0.086203,1279,3,4.924602,0.61247477,0.93156065,0.74743979,0.4264573,4.0341762e-05
1,0.086203,113,3,4.86903714,0.58134001,0.51062355,0.68492991,0.20331864,2.1591832e-05
1,0.086203,133,3,4.86903714,1.14260601,0.72761762,0.89515951,0.74421795,4.0211119e-05
