package,depth,U_versions,months_since_release,D_enc_release_hygiene,D_dec_pin_clarity,n_requires,E_indegree
zope-interface,1,89,1.97,0.858916,0.5,0,3
soupsieve,1,54,0.13,0.989168,0.5,0,1
aiohappyeyeballs,1,46,0.79,0.938348,0.5,0,1
aiosignal,1,10,12.71,0.485564,1.0,2,1
async-timeout,1,20,20.57,0.368493,0.5,0,3
frozenlist,1,18,9.59,0.555745,0.5,0,2
multidict,1,150,5.91,0.669894,1.0,1,3
propcache,1,11,2.56,0.824039,0.5,0,2
yarl,1,138,0.16,0.986497,1.0,3,1
sanic-routing,1,25,30.78,0.280493,0.5,0,1
uvloop,1,83,9.26,0.564331,0.5,0,1
ujson,1,42,1.35,0.899084,0.5,0,1
aiofiles,1,16,9.49,0.558293,0.5,0,1
html5tagger,1,9,0.49,0.960555,0.5,0,2
tracerite,1,19,0.13,0.989168,1.0,1,1
annotated-types,1,9,0.07,0.994555,0.5,0,1
backports-datetime-fromisoformat,1,7,18.86,0.388894,0.5,0,1
jsonschema-specifications,1,25,10.51,0.533038,1.0,1,1
referencing,1,108,9.36,0.561727,1.0,3,4
rpds-py,1,71,0.82,0.935943,0.5,0,2
build,1,36,0.53,0.958036,0.6,5,1
cachecontrol,1,52,8.31,0.5908,1.0,2,1
cleo,1,36,20.17,0.373009,1.0,2,1
dulwich,1,175,0.2,0.98384,1.0,2,1
fastjsonschema,1,46,0.0,1.0,0.5,0,2
findpython,1,26,2.83,0.809431,1.0,2,1
installer,1,15,2.46,0.829654,0.5,0,1
keyring,1,203,8.25,0.592718,0.571429,7,1
pbs-installer,1,76,0.23,0.981197,0.5,0,1
pkginfo,1,52,17.12,0.41215,0.5,0,1
poetry-core,1,65,2.07,0.8529,0.5,0,1
pyproject-hooks,1,4,21.81,0.354889,0.5,0,2
requests-toolbelt,1,21,38.8,0.236231,1.0,1,2
shellingham,1,23,33.02,0.266573,0.5,0,2
trove-classifiers,1,127,1.77,0.871208,0.5,0,1
virtualenv,1,270,0.13,0.989168,1.0,6,4
xattr,1,33,9.36,0.561727,1.0,1,1
pyproject-api,1,26,0.13,0.989168,1.0,2,1
python-discovery,1,17,0.13,0.989168,1.0,2,2
tomli-w,1,9,18.27,0.396492,0.5,0,1
colorlog,1,72,0.07,0.994555,0.0,1,1
dependency-groups,1,11,14.78,0.448042,0.0,2,1
cfgv,1,20,8.15,0.595617,0.5,0,1
identify,1,185,3.25,0.786767,0.5,0,1
nodeenv,1,75,7.13,0.627327,0.5,0,1
librt,1,30,0.56,0.95553,0.5,0,1
ast-serialize,1,12,0.82,0.935943,0.5,0,1
astroid,1,188,0.69,0.945635,1.0,1,1
isort,1,154,0.43,0.965634,0.5,0,1
mccabe,1,13,54.01,0.181796,0.5,0,1
sphinxcontrib-applehelp,1,10,23.88,0.33442,0.5,0,1
sphinxcontrib-devhelp,1,8,23.88,0.33442,0.5,0,1
sphinxcontrib-htmlhelp,1,12,23.88,0.33442,0.5,0,1
sphinxcontrib-jsmath,1,2,90.08,0.117556,0.5,0,1
sphinxcontrib-qthelp,1,10,23.88,0.33442,0.5,0,1
sphinxcontrib-serializinghtml,1,12,23.88,0.33442,0.5,0,1
docutils,1,55,1.94,0.860941,0.5,0,2
snowballstemmer,1,15,1.74,0.873291,0.5,0,1
babel,1,46,5.72,0.677348,1.0,1,3
alabaster,1,30,23.95,0.333809,0.5,0,1
imagesize,1,12,4.73,0.717248,0.5,0,1
roman-numerals,1,8,7.23,0.624112,0.5,0,1
ghp-import,1,33,50.76,0.191218,1.0,1,1
markdown,1,60,5.45,0.687547,0.5,0,3
mergedeep,1,13,65.57,0.154696,0.5,0,2
mkdocs-get-deps,1,4,4.5,0.727244,1.0,4,1
pyyaml-env-tag,1,3,14.39,0.454736,0.0,1,1
feedgenerator,1,13,11.24,0.516457,0.0,1,1
ordered-set,1,18,53.91,0.182068,0.5,0,1
unidecode,1,32,15.01,0.444228,0.5,0,1
watchfiles,1,29,2.23,0.843058,1.0,1,1
bleach,1,61,1.64,0.879599,0.0,1,1
jupyter-core,1,64,9.26,0.564331,1.0,2,9
jupyterlab-pygments,1,7,32.03,0.27254,0.5,0,1
nbclient,1,46,1.64,0.879599,1.0,4,2
nbformat,1,41,27.66,0.302564,1.0,4,4
pandocfilters,1,16,30.19,0.284424,0.5,0,1
entrypoints,1,7,53.68,0.182706,0.5,0,1
tifffile,1,169,0.36,0.970766,1.0,1,1
lazy-loader,1,10,4.63,0.721498,0.0,1,1
albucore,1,48,0.1,0.991854,1.0,3,1
eval-type-backport,1,11,1.74,0.873291,0.5,0,1
opencv-python-headless,1,55,0.76,0.940764,1.0,2,1
xyzservices,1,29,3.84,0.757402,0.5,0,1
colorcet,1,28,2.89,0.80586,0.5,0,1
panel,1,471,1.77,0.871208,0.4,15,2
param,1,125,1.51,0.888154,0.5,0,3
pyviz-comms,1,33,13.14,0.477315,0.0,1,2
mako,1,79,2.89,0.80586,1.0,1,1
pypika-tortoise,1,21,4.4,0.731614,0.5,0,1
iso8601,1,25,33.74,0.262361,0.5,0,1
google-auth,1,197,0.13,0.989168,1.0,3,3
google-api-core,1,163,0.1,0.991854,1.0,6,2
google-cloud-core,1,57,2.6,0.822184,1.0,2,1
google-resumable-media,1,53,1.71,0.875383,1.0,1,1
google-crc32c,1,28,7.29,0.621986,0.5,0,2
azure-core,1,81,2.6,0.822184,1.0,2,1
isodate,1,18,21.52,0.358019,0.5,0,3
bcrypt,1,28,9.95,0.546597,0.5,0,1
invoke,1,70,3.58,0.770178,0.5,0,2
pynacl,1,19,6.73,0.640527,1.0,2,1
deprecated,1,27,8.8,0.576806,0.5,2,1
py4j,1,34,18.27,0.396492,0.5,0,1
partd,1,22,26.61,0.310803,0.0,2,1
toolz,1,31,9.23,0.565204,0.5,0,2
msgpack,1,33,1.22,0.908024,0.5,0,3
polars-runtime-32,1,29,0.13,0.989168,0.5,0,1
spacy-legacy,1,16,29.96,0.285983,0.5,0,1
spacy-loggers,1,6,34.43,0.258463,0.5,0,1
murmurhash,1,38,8.31,0.5908,0.5,0,3
cymem,1,25,8.31,0.5908,0.5,0,3
preshed,1,49,4.07,0.746566,1.0,2,2
thinc,1,250,4.07,0.746566,0.916667,12,1
wasabi,1,42,25.79,0.317557,1.0,2,3
srsly,1,44,4.07,0.746566,1.0,1,3
catalogue,1,24,33.97,0.261049,1.0,2,3
weasel,1,16,4.17,0.742017,1.0,9,1
confection,1,22,4.04,0.748095,1.0,1,3
smart-open,1,79,0.33,0.973353,0.0,1,2
langchain-core,1,295,0.07,0.994555,1.0,9,6
langgraph,1,274,0.49,0.960555,1.0,6,1
distro,1,16,31.01,0.278993,0.5,0,3
jiter,1,21,0.85,0.933551,0.5,0,3
docstring-parser,1,26,3.35,0.781715,0.5,0,3
fastuuid,1,18,9.17,0.566958,0.5,0,1
tiktoken,1,19,2.33,0.83726,0.0,2,2
diff-match-patch,1,8,21.09,0.36264,0.5,0,1
guardrails-ai-types,1,10,0.49,0.960555,1.0,1,1
guardrails-hub-types,1,3,23.39,0.339076,0.5,0,1
jsonref,1,10,42.25,0.22121,0.5,0,1
opentelemetry-exporter-otlp-proto-grpc,1,63,0.3,0.975954,1.0,9,1
opentelemetry-exporter-otlp-proto-http,1,56,0.3,0.975954,1.0,7,1
opentelemetry-sdk,1,83,0.3,0.975954,1.0,3,3
pip,1,157,1.81,0.869135,0.5,0,1
pydash,1,79,6.21,0.659017,1.0,1,1
rstr,1,16,33.44,0.264068,0.5,0,1
termcolor,1,20,6.83,0.637176,0.5,0,1
cffi,1,79,0.62,0.950557,0.0,1,8
joserfc,1,46,0.2,0.98384,1.0,1,1
configargparse,1,32,4.47,0.728695,0.5,0,1
flask-cors,1,58,1.54,0.886,1.0,3,1
flask-login,1,25,32.82,0.267746,1.0,2,1
gevent,1,97,0.1,0.991854,0.5,4,2
geventhttpclient,1,45,4.73,0.717248,0.0,4,1
python-engineio,1,145,1.15,0.912561,1.0,1,2
python-socketio,1,109,1.31,0.901303,1.0,2,1
pywin32,1,22,1.68,0.877486,0.5,0,2
pyzmq,1,106,10.51,0.533038,0.0,1,5
sortedcontainers,1,40,62.29,0.161537,0.5,0,1
h11,1,14,15.01,0.444228,0.5,0,3
zipp,2,64,2.23,0.843058,0.5,0,2
six,2,29,19.65,0.379204,0.5,0,2
amqp,2,75,20.37,0.370737,1.0,1,1
mdurl,2,4,47.34,0.202228,0.5,0,1
jupyter-client,2,99,1.51,0.888154,1.0,6,4
appnope,2,12,29.57,0.288695,0.5,0,1
debugpy,2,55,1.77,0.871208,0.5,0,1
nest-asyncio2,2,6,5.35,0.691452,0.5,0,1
widgetsnbextension,2,139,8.74,0.578634,0.5,0,1
jupyterlab-widgets,2,73,8.74,0.578634,0.5,0,1
async-lru,2,20,4.24,0.739014,1.0,1,1
jupyter-lsp,2,33,3.75,0.762143,1.0,2,1
argon2-cffi,2,18,13.7,0.466943,0.0,1,1
jupyter-events,2,17,3.15,0.791883,0.625,8,1
jupyter-server-terminals,2,16,6.31,0.655469,1.0,2,1
overrides,2,43,29.89,0.286431,0.0,1,1
pywinpty,2,49,1.48,0.890319,0.5,0,3
send2trash,2,21,6.31,0.655469,0.5,0,1
terminado,2,36,28.42,0.296908,0.666667,3,2
websocket-client,2,88,9.56,0.556592,0.5,0,1
json5,2,55,1.18,0.910287,0.5,0,1
parso,2,30,2.79,0.811229,0.5,0,1
ptyprocess,2,10,66.85,0.152182,0.5,0,2
wcwidth,2,41,0.85,0.933551,0.5,0,1
executing,2,36,10.74,0.527648,0.5,0,1
asttokens,2,36,0.43,0.965634,0.5,0,1
pure-eval,2,9,24.11,0.33229,0.5,0,1
cuda-pathfinder,2,26,0.13,0.989168,0.5,0,1
nvidia-cublas,2,16,0.3,0.975954,0.0,1,1
nvidia-cuda-cccl,2,10,0.3,0.975954,0.5,0,1
hf-xet,2,40,0.03,0.99727,0.5,0,1
gitdb,2,22,18.69,0.390975,1.0,1,1
leather,2,9,7.29,0.621986,0.5,0,1
parsedatetime,2,17,73.78,0.139885,0.5,0,1
pytimeparse,2,10,98.23,0.108867,0.5,0,1
deepdiff,2,91,2.33,0.83726,1.0,2,1
more-itertools,2,55,2.1,0.850913,0.5,0,3
rapidfuzz,2,174,3.58,0.770178,0.5,0,2
sqlglot,2,776,0.16,0.986497,0.5,0,1
tabulate,2,28,4.7,0.718659,0.5,0,1
requests-oauthlib,2,23,27.99,0.300079,1.0,2,1
rich-rst,2,33,0.66,0.94809,1.0,2,1
griffecli,2,4,1.18,0.910287,1.0,2,1
griffelib,2,4,1.18,0.910287,0.5,0,2
jsonpointer,2,30,4.07,0.746566,0.5,0,1
burner-redis,2,8,2.56,0.824039,0.5,0,1
cronsim,2,12,9.1,0.568724,0.5,0,1
py-key-value-aio,2,14,1.94,0.860941,1.0,2,1
python-json-logger,2,38,3.88,0.755835,0.5,0,2
redis,2,168,1.05,0.919452,1.0,1,1
taskgroup,2,12,18.66,0.391394,0.5,2,1
uncalled-for,2,7,2.63,0.820338,0.5,0,1
text-unidecode,2,5,82.82,0.126557,0.5,0,1
lockfile,2,5,127.96,0.085741,0.5,0,1
requests-file,2,16,9.13,0.56784,1.0,1,1
automat,2,14,15.28,0.439948,0.0,1,1
constantly,2,4,32.88,0.267354,0.5,0,1
hyperlink,2,12,66.49,0.152883,0.5,0,1
incremental,2,17,7.85,0.604488,0.5,2,1
crashtest,2,4,44.71,0.2116,0.5,0,1
pywin32-ctypes,2,8,23.32,0.339707,0.5,0,1
secretstorage,2,24,8.02,0.599527,1.0,2,1
jeepney,2,14,16.85,0.415904,0.5,0,2
jaraco-classes,2,20,27.79,0.301565,0.0,1,1
jaraco-functools,2,52,0.36,0.970766,0.0,1,1
jaraco-context,2,31,4.17,0.742017,0.0,1,1
distlib,2,35,1.41,0.89468,0.5,0,1
webencodings,2,6,111.63,0.097064,0.5,0,1
