orf,E_essential,U,D_enc,D_dec,D,D_dec_raw
YNR036C,0,143,0.44587806559637544,0.002597845496476948,0.0011583223246873972,0.0004915139511123301
YNL177C,0,114,0.6104642136314237,0.003942391882816381,0.0024066891605704094,0.0007459029468011522
YER050C,0,121,0.6081267217630854,0.0023395488416687255,0.0014227421674886257,0.0004426440666114781
YKR085C,0,73,0.9996194824961948,2.5072975382942185e-06,2.50634346769365e-06,4.7438222224242486e-07
YJR113C,0,168,0.414599372683205,0.004884266599263094,0.0020250138680720097,0.0009241062171501198
YMR286W,0,106,0.7092542677448338,0.0003654637356385118,0.00025920671420758424,6.914596150370061e-05
YMR193W,0,142,0.5716711617221056,0.0015241013410567685,0.000871284784224142,0.0002883609025457148
YHR147C,0,105,0.665018315018315,0.0013050588440863577,0.0008678880334940595,0.00024691792863004394
YPR100W,0,134,0.5263157894736842,0.0025583296116628014,0.0013464892692962112,0.0004840375216237247
YDR462W,0,110,0.6713928273561302,0.0010157476627372887,0.0006819656951655692,0.00019218007680679228
YGR150C,0,33,0.9981060606060606,2.5056260066020218e-06,2.500880502801639e-06,4.7406596742759646e-07
YDR041W,1,143,0.500443218753078,0.0015791275189884087,0.0007902636584241215,0.00029877188894443215
YDR347W,0,85,0.7983193277310925,0.0021263412078560157,0.0016974992835825336,0.0004023050523611263
YJL096W,0,75,0.9585585585585585,0.00022949058576096642,0.00021998016508979122,4.341975868211783e-05
YBR251W,0,171,0.42683178534571725,0.00907099213632696,0.003871787768405398,0.0017162372402367012
YJL063C,0,169,0.4502676810369118,0.004754954398298695,0.0021410022903582174,0.0008996402699222195
YNL005C,0,162,0.4792577256345372,0.007986621982669707,0.0038276502869170823,0.0015110737463279364
YMR158W,0,120,0.5899159663865546,0.0014555527772402216,0.0008586538232122988,0.0002753914724967613
YMR024W,0,100,0.6971717171717172,0.007425967398606394,0.00517717444294761,0.0014049975573490647
YPR166C,0,112,0.643983268983269,0.0005735854425328268,0.0003693794283235048,0.00010852271528162674
YKL003C,0,156,0.504383788254756,0.0030593871094270982,0.0015431052599906077,0.0005788379055551686
YLR312W-A,0,75,0.9567567567567568,0.00039311797965866713,0.00037611828324099505,7.43781613253622e-05
YNL306W,1,133,0.5393028024606972,0.0019137490262661914,0.0010320902130717875,0.0003620824820464133
YGR215W,0,79,0.9123661148977604,0.00017464028938780844,0.00015933588233337537,3.304204918145106e-05
YHR075C,0,39,0.8110661268556005,0.0010653317328327922,0.0008640544823650581,0.00020156141308638344
YCR046C,0,154,0.5249129955012308,0.0017364161937424856,0.0009114674256942137,0.00032853100206276095
YGL129C,0,131,0.5482090428655314,0.00289931972117568,0.001589433289306879,0.0005485530581497394
YBL038W,0,110,0.5914929107589658,0.007255428475860225,0.0042915345079900516,0.0013727314892356666
YHL004W,0,124,0.5702858641489641,0.003143143990369839,0.0017924905866926867,0.00059468475847265
YDR337W,0,174,0.3892100192678227,0.005829262266964197,0.002268807279242327,0.001102899973378388
YOR158W,0,79,0.8928919182083739,0.0006258901350145355,0.0005588522432408268,0.00011841879497468949
YOR150W,0,127,0.5121859767529059,0.0038366662884423827,0.001965086670420808,0.0007258995999143046
YNR037C,0,99,0.7344877344877345,0.00025623317541282784,0.0001882001245095662,4.847947294171785e-05
YDR322W,0,86,0.8205198358413133,0.000924888312605208,0.0007588892064303745,0.00017498943239030134
YEL050C,0,124,0.578415945449777,0.004094003106665347,0.002368036677616161,0.0007745878827482822
YPL183W-A,0,155,0.5244239631336406,0.002043478902284216,0.00107164930451587,0.0003866274536489991
YBR146W,0,158,0.49810529710553897,0.003318918436304721,0.001653170853784614,0.000627941390763985
YPL173W,0,77,0.9149008885850991,0.0006480130765180485,0.0005928677395211264,0.00012260446898931622
YPL118W,0,81,0.8731481481481481,0.00034468057435470154,0.0003009572052004477,6.521377472313044e-05
YBR282W,0,113,0.6638748419721872,0.0005290711389095119,0.0003512370187355973,0.00010010058190819055
YDL045W-A,0,77,0.937799043062201,5.1651166743368906e-05,4.843841474497754e-05,9.77243222509723e-06
YNL137C,1,118,0.6049543676662321,0.002095943327400229,0.001267950070291664,0.0003965537548538165
YML025C,1,110,0.6412010008340283,0.0017607165472137407,0.0011289732122584852,0.0003331286437486428
YDR296W,0,78,0.9177489177489178,0.0008503145160206758,0.0007803752268241699,0.0001608800246297479
YDR036C,0,80,0.875,0.0011257954925255273,0.0009850710559598363,0.00021300119326807075
YKL155C,0,40,0.882051282051282,0.00026455694698065805,0.00023335279425986248,5.005433559502384e-05
YDR405W,0,122,0.6111637989432326,0.000794511437363967,0.00048557662836321025,0.0001503220481403888
YPL013C,0,157,0.5013882083945779,0.002776481509066579,0.001392095089471566,0.0005253119935586395
YLR204W,0,75,0.9711711711711711,1.750509921182451e-05,1.7000447703015153e-05,3.3119754388340114e-06
YGR165W,0,80,0.8800632911392405,0.0007142794477868012,0.0006286111216123716,0.00013514210681741336
YDR115W,0,109,0.6794087665647298,0.0013258822275309273,0.0009008160088168838,0.00025085772546794196
YKL138C,0,74,0.9759348389485376,4.427376017032433e-05,4.320830500147166e-05,8.376622405538396e-06
YGR220C,0,194,0.37519363281875967,0.01902187016498494,0.007136884570207479,0.0035989494275224542
YNL284C,0,188,0.40334509045397654,0.009132822375027176,0.0036836790669554373,0.0017279355590793639
YKR006C,0,75,0.9499099099099099,0.004613486709522056,0.0043823967446126625,0.0008728744969924465
YNR022C,0,73,0.9996194824961948,2.5056260066020218e-06,2.50467257204852e-06,4.7406596742759646e-07
YNL252C,0,133,0.5508088402825245,0.0018741945644510378,0.0010323229345090873,0.0003545987537657078
YDR494W,0,75,0.9711711711711711,1.7493429145683287e-05,1.6989114071213138e-05,3.3097674552081213e-06
YKL170W,0,107,0.6639040733556691,0.0008704663257714594,0.0005779061393986147,0.0001646927593155112
YJR101W,0,80,0.8911392405063291,0.000370875967105919,0.00033050212764881897,7.016995899565592e-05
YNL081C,0,111,0.6414414414414414,0.0008378121112600453,0.0005374074083037408,0.00015851456202982164
YBL090W,0,77,0.937799043062201,5.161673263220665e-05,4.840612246848088e-05,9.765917270280496e-06
Q0160,0,1,0.0,0.0,0.0,0.0
